district,population,youth_population_18_35,unemployment_rate_percent,num_existing_training_centers,total_training_capacity,current_utilization_percent,top_growing_sectors,critical_skills_gaps,recommended_new_courses,recommended_capacity_expansion,estimated_investment_needed_inr,priority_sectors_with_scores,current_placement_rate_percent,target_placement_rate_percent,plan_start_date,plan_end_date,implementing_agencies,risk_factors,monitoring_frequency,success_metrics,plan_status,last_updated
Jalgaon,13578036,4694445,5.63,87,25404,88.83,Insurance; Textiles; Real Estate; Pharmaceuticals; Media & Entertainment,Problem Solving; Computer Literacy; Communication,Accounting & GST; Data Analytics; Cloud Computing; Beauty & Wellness; Medical Lab Technology; CNC Operation; Digital Marketing; Full Stack Development,1462,57528238,Insurance:61.1; Textiles:85.6; Real Estate:87.1; Pharmaceuticals:68.8; Media & Entertainment:68.9,32.33,65.48,2026-10-01,2027-09-30,Private Partners; NSDC; ITI; NGOs,Infrastructure Constraints,Monthly,"Placement Rate, Enrollment Numbers, Employer Satisfaction, Trainee Satisfaction",Implementation,2026-09-05
Akola,2887275,774435,10.64,95,7315,42.28,Construction; Healthcare; Energy & Renewables; Insurance; Logistics & Supply Chain,Medical Lab Testing; Computer Literacy; Pharmacy; Patient Care; Problem Solving,Beauty & Wellness; CNC Operation; Warehouse Management; Retail Management; Medical Lab Technology; Cloud Computing; Customer Service; Accounting & GST,3033,136827729,Construction:93.0; Healthcare:77.2; Energy & Renewables:80.7; Insurance:77.6; Logistics & Supply Chain:71.5,52.67,75.29,2026-10-01,2027-09-30,NGOs; Private Partners; Industry Associations,Infrastructure Constraints,Monthly,"Placement Rate, Enrollment Numbers, Employer Satisfaction, Trainee Satisfaction",Implementation,2026-09-05
Latur,14313085,3936388,9.81,96,15840,51.21,Real Estate; Retail & E-commerce; Education & EdTech; Manufacturing; Construction,Customer Service; E-commerce Operations; Computer Literacy; Problem Solving; Communication,Data Analytics; Digital Marketing; Customer Service; Beauty & Wellness; Electrician Training; Automotive Mechanic; Retail Management; Food Processing,4942,156251214,Real Estate:71.4; Retail & E-commerce:77.1; Education & EdTech:91.2; Manufacturing:93.3; Construction:95.0,43.69,60.28,2026-10-01,2027-09-30,State Skill Development; Private Partners; ITI; Industry Associations; NGOs,Trainer Shortage; Industry Partnership Gaps; Funding Delays,Quarterly,"Placement Rate, Enrollment Numbers, Employer Satisfaction, Trainee Satisfaction",Approved,2026-09-05
Dhule,5128533,1709624,10.65,11,3003,81.12,Education & EdTech; Media & Entertainment; Pharmaceuticals; Retail & E-commerce; Logistics & Supply Chain,Problem Solving; Computer Literacy; Communication,Digital Marketing; Welding Technology; CNC Operation; Electrician Training; Medical Lab Technology; Data Analytics; Full Stack Development,2273,94827287,Education & EdTech:96.4; Media & Entertainment:93.9; Pharmaceuticals:78.8; Retail & E-commerce:75.8; Logistics & Supply Chain:65.4,59.13,85.62,2026-10-01,2027-09-30,NGOs; ITI; State Skill Development; NSDC,Infrastructure Constraints; Trainer Shortage; Industry Partnership Gaps,Monthly,"Placement Rate, Enrollment Numbers, Employer Satisfaction, Trainee Satisfaction",In Review,2026-09-05
Ahmednagar,8813152,2995422,5.9,48,5376,93.48,Textiles; Construction; Electronics & Hardware; Pharmaceuticals; Agriculture & Food Processing,Problem Solving; Computer Literacy; Communication,Medical Lab Technology; Mobile Repair; Food Processing; Accounting & GST; Beauty & Wellness,1282,51450506,Textiles:94.3; Construction:95.1; Electronics & Hardware:79.8; Pharmaceuticals:92.4; Agriculture & Food Processing:90.0,32.33,53.67,2026-10-01,2027-09-30,NGOs; ITI; NSDC,None Identified,Bi-annual,"Placement Rate, Enrollment Numbers, Employer Satisfaction, Trainee Satisfaction",In Review,2026-09-05
Chandrapur,14973298,4695209,4.07,18,3150,62.84,Textiles; Media & Entertainment; Logistics & Supply Chain; Insurance; IT & Software Services,Problem Solving; Computer Literacy; Communication,Welding Technology; Cloud Computing; Warehouse Management; Mobile Repair; Food Processing,1306,49735092,Textiles:77.5; Media & Entertainment:71.2; Logistics & Supply Chain:69.2; Insurance:96.3; IT & Software Services:95.1,21.88,38.1,2026-10-01,2027-09-30,State Skill Development; ITI,Industry Partnership Gaps,Monthly,"Placement Rate, Enrollment Numbers, Employer Satisfaction, Trainee Satisfaction",Draft,2026-09-05
Parbhani,8418313,2821559,6.61,66,3498,87.2,Healthcare; Tourism & Hospitality; Gig Economy; Construction; Pharmaceuticals,Medical Lab Testing; Computer Literacy; Pharmacy; Patient Care; Problem Solving,Warehouse Management; Customer Service; Automotive Mechanic; Medical Lab Technology; Beauty & Wellness; Accounting & GST; Food Processing,1205,38351535,Healthcare:60.2; Tourism & Hospitality:75.4; Gig Economy:82.7; Construction:74.5; Pharmaceuticals:85.2,49.95,72.23,2026-10-01,2027-09-30,NGOs; ITI; Industry Associations,Infrastructure Constraints; Trainer Shortage,Quarterly,"Placement Rate, Enrollment Numbers, Employer Satisfaction, Trainee Satisfaction",Implementation,2026-09-05
Jalna,2623435,742627,12.67,32,6400,48.84,Automotive; Agriculture & Food Processing; Healthcare; Insurance; Logistics & Supply Chain,Medical Lab Testing; Computer Literacy; Pharmacy; Patient Care; Problem Solving,Customer Service; Warehouse Management; Automotive Mechanic; Welding Technology; Electrician Training; Medical Lab Technology; Digital Marketing,909,35991855,Automotive:78.2; Agriculture & Food Processing:77.1; Healthcare:79.1; Insurance:66.3; Logistics & Supply Chain:67.0,59.11,74.78,2026-10-01,2027-09-30,State Skill Development; Industry Associations; NGOs; NSDC; ITI,Infrastructure Constraints,Monthly,"Placement Rate, Enrollment Numbers, Employer Satisfaction, Trainee Satisfaction",Draft,2026-09-05
Bhiwandi,5112285,1772664,4.57,65,7345,42.28,Real Estate; Automotive; Electronics & Hardware; Insurance; Media & Entertainment,Problem Solving; Computer Literacy; Communication,Digital Marketing; Mobile Repair; Automotive Mechanic; Customer Service; Full Stack Development; Retail Management; Welding Technology,538,18506124,Real Estate:60.2; Automotive:78.4; Electronics & Hardware:86.4; Insurance:95.9; Media & Entertainment:93.2,41.34,64.07,2026-10-01,2027-09-30,NGOs; ITI,Infrastructure Constraints; Funding Delays,Bi-annual,"Placement Rate, Enrollment Numbers, Employer Satisfaction, Trainee Satisfaction",In Review,2026-09-05
Nanded,12353044,4057535,8.22,14,3948,93.85,Insurance; IT & Software Services; Manufacturing; Gig Economy; Automotive,CNC Operation; Automation; Data Analytics; Cloud Computing; Computer Literacy,Customer Service; Digital Marketing; Automotive Mechanic; Warehouse Management,3300,150133500,Insurance:81.4; IT & Software Services:60.5; Manufacturing:66.8; Gig Economy:81.0; Automotive:62.0,23.74,56.63,2026-10-01,2027-09-30,State Skill Development; ITI,None Identified,Bi-annual,"Placement Rate, Enrollment Numbers, Employer Satisfaction, Trainee Satisfaction",Draft,2026-09-05
Satara,9472642,2836483,13.28,36,5832,85.55,Automotive; Telecommunications; Energy & Renewables; Electronics & Hardware; Manufacturing,Problem Solving; Computer Literacy; Communication,Digital Marketing; Beauty & Wellness; Medical Lab Technology; Data Analytics; Warehouse Management; Food Processing; Mobile Repair; Cloud Computing,1189,24944031,Automotive:64.5; Telecommunications:85.2; Energy & Renewables:79.4; Electronics & Hardware:71.9; Manufacturing:68.3,59.07,90.0,2026-10-01,2027-09-30,NGOs; NSDC,Infrastructure Constraints,Monthly,"Placement Rate, Enrollment Numbers, Employer Satisfaction, Trainee Satisfaction",Approved,2026-09-05
Beed,7177465,2073808,11.81,70,5320,84.3,Education & EdTech; IT & Software Services; Telecommunications; Textiles; Gig Economy,Data Analytics; Cloud Computing; Computer Literacy; Python; Problem Solving,Food Processing; Accounting & GST; Cloud Computing,2819,123694901,Education & EdTech:95.9; IT & Software Services:60.5; Telecommunications:76.1; Textiles:89.7; Gig Economy:76.8,55.13,80.45,2026-10-01,2027-09-30,State Skill Development; NSDC,Infrastructure Constraints,Quarterly,"Placement Rate, Enrollment Numbers, Employer Satisfaction, Trainee Satisfaction",Implementation,2026-09-05
Yavatmal,6303525,2160687,8.62,17,1037,55.27,Banking & Financial Services; Automotive; Pharmaceuticals; Construction; Agriculture & Food Processing,Problem Solving; Computer Literacy; Digital Banking; Financial Services; Banking Operations,Retail Management; Food Processing; Data Analytics; CNC Operation; Digital Marketing; Electrician Training; Cloud Computing; Mobile Repair,4511,126380176,Banking & Financial Services:99.1; Automotive:73.1; Pharmaceuticals:74.3; Construction:79.1; Agriculture & Food Processing:76.2,25.3,45.15,2026-10-01,2027-09-30,State Skill Development; Private Partners; NGOs,Industry Partnership Gaps,Quarterly,"Placement Rate, Enrollment Numbers, Employer Satisfaction, Trainee Satisfaction",In Review,2026-09-05
Osmanabad,3745168,992818,7.41,25,3525,63.14,Logistics & Supply Chain; Gig Economy; Energy & Renewables; Insurance; Tourism & Hospitality,Problem Solving; Computer Literacy; Communication,Food Processing; Data Analytics; Automotive Mechanic; CNC Operation; Full Stack Development; Cloud Computing; Beauty & Wellness,4899,176623647,Logistics & Supply Chain:77.6; Gig Economy:99.0; Energy & Renewables:66.1; Insurance:80.6; Tourism & Hospitality:70.0,46.04,75.56,2026-10-01,2027-09-30,Private Partners; ITI; NSDC,Infrastructure Constraints; Trainer Shortage; Funding Delays,Quarterly,"Placement Rate, Enrollment Numbers, Employer Satisfaction, Trainee Satisfaction",Implementation,2026-09-05
Raigad,11065140,3284664,6.55,73,6424,69.44,Gig Economy; Media & Entertainment; Real Estate; Energy & Renewables; Manufacturing,Problem Solving; Computer Literacy; Communication,Customer Service; CNC Operation; Retail Management; Data Analytics; Automotive Mechanic,1569,55380993,Gig Economy:87.4; Media & Entertainment:92.8; Real Estate:70.7; Energy & Renewables:94.0; Manufacturing:95.4,26.48,43.33,2026-10-01,2027-09-30,State Skill Development; ITI; Private Partners; Industry Associations,Infrastructure Constraints,Monthly,"Placement Rate, Enrollment Numbers, Employer Satisfaction, Trainee Satisfaction",In Review,2026-09-05
Ratnagiri,711844,209933,14.36,75,9375,55.7,Logistics & Supply Chain; Banking & Financial Services; Healthcare; Pharmaceuticals; Construction,Medical Lab Testing; Computer Literacy; Digital Banking; Pharmacy; Financial Services,Electrician Training; Mobile Repair; Welding Technology; Digital Marketing; CNC Operation; Accounting & GST; Cloud Computing; Beauty & Wellness,3778,107102522,Logistics & Supply Chain:60.6; Banking & Financial Services:73.7; Healthcare:75.4; Pharmaceuticals:63.1; Construction:61.0,56.96,81.39,2026-10-01,2027-09-30,Private Partners; State Skill Development; ITI; Industry Associations; NGOs,Infrastructure Constraints; Trainer Shortage,Quarterly,"Placement Rate, Enrollment Numbers, Employer Satisfaction, Trainee Satisfaction",In Review,2026-09-05
Sindhudurg,13510459,3724319,7.2,28,5040,52.38,Telecommunications; Electronics & Hardware; IT & Software Services; Agriculture & Food Processing; Logistics & Supply Chain,Data Analytics; Cloud Computing; Computer Literacy; Python; Problem Solving,Automotive Mechanic; Data Analytics; Food Processing; Cloud Computing; Mobile Repair; Welding Technology; CNC Operation,2682,124739820,Telecommunications:91.6; Electronics & Hardware:88.8; IT & Software Services:75.6; Agriculture & Food Processing:89.0; Logistics & Supply Chain:72.2,58.75,88.7,2026-10-01,2027-09-30,Industry Associations; State Skill Development,Infrastructure Constraints; Trainer Shortage; Funding Delays,Monthly,"Placement Rate, Enrollment Numbers, Employer Satisfaction, Trainee Satisfaction",Draft,2026-09-05
Wardha,9191447,2459899,4.1,71,18318,88.24,Construction; Healthcare; Logistics & Supply Chain; Gig Economy; Agriculture & Food Processing,Medical Lab Testing; Computer Literacy; Pharmacy; Patient Care; Problem Solving,Data Analytics; Digital Marketing; Welding Technology; Full Stack Development; CNC Operation,3642,96862632,Construction:82.5; Healthcare:65.0; Logistics & Supply Chain:88.5; Gig Economy:77.3; Agriculture & Food Processing:73.7,40.79,56.38,2026-10-01,2027-09-30,State Skill Development; Private Partners; ITI; NGOs; Industry Associations,Trainer Shortage,Monthly,"Placement Rate, Enrollment Numbers, Employer Satisfaction, Trainee Satisfaction",Approved,2026-09-05
Washim,4819443,1366725,11.8,65,13780,59.2,Telecommunications; Healthcare; Insurance; Real Estate; Banking & Financial Services,Medical Lab Testing; Computer Literacy; Pharmacy; Patient Care; Problem Solving,Welding Technology; Warehouse Management; Customer Service; Food Processing; Digital Marketing; Automotive Mechanic; Cloud Computing,843,18311646,Telecommunications:65.3; Healthcare:69.9; Insurance:93.9; Real Estate:97.8; Banking & Financial Services:84.3,33.08,59.07,2026-10-01,2027-09-30,ITI; NGOs,Funding Delays,Quarterly,"Placement Rate, Enrollment Numbers, Employer Satisfaction, Trainee Satisfaction",Approved,2026-09-05
Gondia,7697694,2276887,10.13,74,16946,76.38,Pharmaceuticals; Gig Economy; IT & Software Services; Tourism & Hospitality; Real Estate,Data Analytics; Cloud Computing; Computer Literacy; Python; Problem Solving,Customer Service; Digital Marketing; Beauty & Wellness; Retail Management; Electrician Training,1051,26595555,Pharmaceuticals:69.9; Gig Economy:61.9; IT & Software Services:93.2; Tourism & Hospitality:60.3; Real Estate:69.3,55.57,82.72,2026-10-01,2027-09-30,State Skill Development; Private Partners; NSDC; Industry Associations; NGOs,Infrastructure Constraints; Industry Partnership Gaps,Quarterly,"Placement Rate, Enrollment Numbers, Employer Satisfaction, Trainee Satisfaction",Implementation,2026-09-05
Bhandara,6056334,1920413,12.87,64,6912,75.11,Construction; Banking & Financial Services; Telecommunications; Energy & Renewables; Retail & E-commerce,Computer Literacy; Digital Banking; Financial Services; Communication; Problem Solving,Automotive Mechanic; Medical Lab Technology; Accounting & GST; Cloud Computing; Mobile Repair; Customer Service; Retail Management,770,29833650,Construction:62.7; Banking & Financial Services:65.5; Telecommunications:71.2; Energy & Renewables:79.0; Retail & E-commerce:86.0,27.04,52.74,2026-10-01,2027-09-30,Industry Associations; NGOs,Infrastructure Constraints; Trainer Shortage,Bi-annual,"Placement Rate, Enrollment Numbers, Employer Satisfaction, Trainee Satisfaction",Draft,2026-09-05
Gadchiroli,13705099,3702527,7.62,66,19272,50.04,Insurance; Telecommunications; Gig Economy; Real Estate; Healthcare,Problem Solving; Computer Literacy; Communication,Data Analytics; Warehouse Management; Digital Marketing; Welding Technology; Food Processing; Automotive Mechanic,4446,82548882,Insurance:68.6; Telecommunications:61.8; Gig Economy:69.1; Real Estate:96.3; Healthcare:74.1,20.34,45.39,2026-10-01,2027-09-30,NSDC; Private Partners; State Skill Development; Industry Associations,Infrastructure Constraints; Trainer Shortage,Monthly,"Placement Rate, Enrollment Numbers, Employer Satisfaction, Trainee Satisfaction",Implementation,2026-09-05
Hingoli,9632606,3117951,10.51,65,17355,69.78,Telecommunications; Gig Economy; Tourism & Hospitality; Electronics & Hardware; Real Estate,Problem Solving; Computer Literacy; Communication,Accounting & GST; Mobile Repair; Retail Management; Cloud Computing; Digital Marketing,3435,74766210,Telecommunications:87.9; Gig Economy:73.4; Tourism & Hospitality:93.7; Electronics & Hardware:91.4; Real Estate:93.7,36.1,56.28,2026-10-01,2027-09-30,NSDC; NGOs; Private Partners; ITI; Industry Associations,None Identified,Quarterly,"Placement Rate, Enrollment Numbers, Employer Satisfaction, Trainee Satisfaction",Approved,2026-09-05
Nandurbar,5389580,1782985,14.9,25,6825,41.29,Banking & Financial Services; Healthcare; Tourism & Hospitality; Education & EdTech; Electronics & Hardware,Medical Lab Testing; Computer Literacy; Digital Banking; Pharmacy; Financial Services,Customer Service; Mobile Repair; Electrician Training; Welding Technology; Accounting & GST; CNC Operation; Full Stack Development,3107,66272310,Banking & Financial Services:67.3; Healthcare:68.5; Tourism & Hospitality:68.9; Education & EdTech:72.8; Electronics & Hardware:66.5,32.55,49.15,2026-10-01,2027-09-30,NGOs; ITI; Industry Associations; NSDC,None Identified,Quarterly,"Placement Rate, Enrollment Numbers, Employer Satisfaction, Trainee Satisfaction",Draft,2026-09-05
