course_name,course_category,duration_months,skill_name,skill_type,proficiency_required,training_hours_allocated,assessment_method,industry_validated,validating_companies,equipment_needed,equipment_cost_estimate,trainer_qualification,months_since_curriculum_update,needs_curriculum_update,nsqf_aligned,nsqf_level,learning_outcomes,last_updated
Data Analytics,IT & Software,6,Statistics,Core,Intermediate,21,Written Test,No,N/A,1,78503,Certification Required,32,Yes,Yes,5,Demonstrate proficiency in Statistics for industry applications,2026-09-05
Data Analytics,IT & Software,6,Pandas,Core,Advanced,46,Project,Yes,Infosys,4,443650,Graduate + Training,6,No,Yes,5,Demonstrate proficiency in Pandas for industry applications,2026-09-05
Data Analytics,IT & Software,6,Data Visualization,Core,Intermediate,51,On-job Assessment,In Progress,N/A,2,408226,Expert Level,22,Yes,Yes,5,Demonstrate proficiency in Data Visualization for industry applications,2026-09-05
Data Analytics,IT & Software,6,Machine Learning Basics,Emerging,Intermediate,30,Practical Exam,No,N/A,5,416952,Graduate + Training,15,No,Yes,5,Demonstrate proficiency in Machine Learning Basics for industry applications,2026-09-05
Data Analytics,IT & Software,6,Tableau,Emerging,Intermediate,24,Written Test,In Progress,N/A,5,366781,Industry Experience 3+ years,23,Yes,Yes,5,Demonstrate proficiency in Tableau for industry applications,2026-09-05
Data Analytics,IT & Software,6,Big Data Basics,Emerging,Intermediate,25,Project,In Progress,N/A,5,158389,Certification Required,30,Yes,Yes,5,Demonstrate proficiency in Big Data Basics for industry applications,2026-09-05
Cloud Computing,IT & Software,6,AWS,Core,Advanced,35,Project,Yes,Axis Bank; Amazon; Infosys,4,242965,Certification Required,18,No,Yes,5,Demonstrate proficiency in AWS for industry applications,2026-09-05
Cloud Computing,IT & Software,6,Linux,Core,Advanced,27,Written Test,No,N/A,10,141788,Expert Level,9,No,Yes,5,Demonstrate proficiency in Linux for industry applications,2026-09-05
Cloud Computing,IT & Software,6,Networking Basics,Core,Advanced,36,Project,No,N/A,3,440562,Graduate + Training,15,No,Yes,5,Demonstrate proficiency in Networking Basics for industry applications,2026-09-05
Cloud Computing,IT & Software,6,Cloud Security,Core,Intermediate,23,Project,Yes,IBM; Mahindra & Mahindra; HDFC Bank; Godrej Industries; Bajaj Finserv,6,272289,Industry Experience 3+ years,28,Yes,Yes,5,Demonstrate proficiency in Cloud Security for industry applications,2026-09-05
Cloud Computing,IT & Software,6,Virtualization,Core,Advanced,31,Project,In Progress,N/A,10,158052,Certification Required,29,Yes,Yes,5,Demonstrate proficiency in Virtualization for industry applications,2026-09-05
Cloud Computing,IT & Software,6,Kubernetes,Emerging,Beginner,17,On-job Assessment,In Progress,N/A,7,253341,Certification Required,17,No,Yes,5,Demonstrate proficiency in Kubernetes for industry applications,2026-09-05
Cloud Computing,IT & Software,6,Docker,Emerging,Intermediate,22,Practical Exam,Yes,Wipro; Crompton Greaves; Larsen & Toubro,9,331115,Expert Level,20,Yes,Yes,5,Demonstrate proficiency in Docker for industry applications,2026-09-05
Cloud Computing,IT & Software,6,Terraform,Emerging,Intermediate,10,On-job Assessment,In Progress,N/A,2,446532,Expert Level,3,No,Yes,5,Demonstrate proficiency in Terraform for industry applications,2026-09-05
Cloud Computing,IT & Software,6,Serverless,Emerging,Beginner,24,Written Test,In Progress,N/A,1,65481,Graduate + Training,3,No,Yes,5,Demonstrate proficiency in Serverless for industry applications,2026-09-05
Digital Marketing,Marketing,3,SEO,Core,Advanced,28,Practical Exam,No,N/A,2,43199,Expert Level,24,Yes,Yes,4,Demonstrate proficiency in SEO for industry applications,2026-09-05
Digital Marketing,Marketing,3,SEM,Core,Intermediate,44,Project,Yes,Zerodha,4,156986,Certification Required,9,No,Yes,4,Demonstrate proficiency in SEM for industry applications,2026-09-05
Digital Marketing,Marketing,3,Social Media Marketing,Core,Advanced,35,Portfolio,No,N/A,3,384026,Industry Experience 3+ years,30,Yes,Yes,4,Demonstrate proficiency in Social Media Marketing for industry applications,2026-09-05
Digital Marketing,Marketing,3,Google Analytics,Core,Intermediate,47,Project,In Progress,N/A,6,226756,Expert Level,31,Yes,Yes,4,Demonstrate proficiency in Google Analytics for industry applications,2026-09-05
Digital Marketing,Marketing,3,Content Marketing,Core,Advanced,52,Project,No,N/A,4,8638,Industry Experience 3+ years,2,No,Yes,4,Demonstrate proficiency in Content Marketing for industry applications,2026-09-05
Digital Marketing,Marketing,3,Influencer Marketing,Emerging,Intermediate,28,Practical Exam,In Progress,N/A,7,272292,Industry Experience 3+ years,21,Yes,Yes,4,Demonstrate proficiency in Influencer Marketing for industry applications,2026-09-05
Digital Marketing,Marketing,3,Marketing Automation,Emerging,Intermediate,29,Portfolio,In Progress,N/A,7,79526,Industry Experience 3+ years,6,No,Yes,4,Demonstrate proficiency in Marketing Automation for industry applications,2026-09-05
Digital Marketing,Marketing,3,Video Marketing,Emerging,Intermediate,14,Written Test,Yes,Zerodha; Byju's; Crompton Greaves,4,173535,Graduate + Training,19,Yes,Yes,4,Demonstrate proficiency in Video Marketing for industry applications,2026-09-05
CNC Operation,Manufacturing,12,CNC Programming,Core,Advanced,45,Written Test,Yes,Tech Mahindra,7,116151,Industry Experience 3+ years,35,Yes,Yes,5,Demonstrate proficiency in CNC Programming for industry applications,2026-09-05
CNC Operation,Manufacturing,12,Blueprint Reading,Core,Intermediate,32,Written Test,No,N/A,2,364146,Certification Required,20,Yes,Yes,5,Demonstrate proficiency in Blueprint Reading for industry applications,2026-09-05
CNC Operation,Manufacturing,12,Precision Measurement,Core,Intermediate,27,Practical Exam,No,N/A,1,383257,Industry Experience 3+ years,7,No,Yes,5,Demonstrate proficiency in Precision Measurement for industry applications,2026-09-05
CNC Operation,Manufacturing,12,Machine Setup,Core,Intermediate,54,Practical Exam,In Progress,N/A,6,331798,Industry Experience 3+ years,4,No,Yes,5,Demonstrate proficiency in Machine Setup for industry applications,2026-09-05
CNC Operation,Manufacturing,12,Safety,Core,Advanced,20,Project,Yes,Razorpay; Siemens; Mahindra & Mahindra; Crompton Greaves,4,284142,Expert Level,22,Yes,Yes,5,Demonstrate proficiency in Safety for industry applications,2026-09-05
CNC Operation,Manufacturing,12,CAD/CAM,Emerging,Beginner,23,Practical Exam,Yes,Tech Mahindra; TCS; Axis Bank; Razorpay; Infosys,1,339934,Certification Required,7,No,Yes,5,Demonstrate proficiency in CAD/CAM for industry applications,2026-09-05
CNC Operation,Manufacturing,12,Automation Basics,Emerging,Intermediate,25,Written Test,In Progress,N/A,10,278654,Certification Required,16,No,Yes,5,Demonstrate proficiency in Automation Basics for industry applications,2026-09-05
CNC Operation,Manufacturing,12,Quality Control Software,Emerging,Beginner,17,Practical Exam,In Progress,N/A,2,278667,Certification Required,22,Yes,Yes,5,Demonstrate proficiency in Quality Control Software for industry applications,2026-09-05
Welding Technology,Manufacturing,12,Arc Welding,Core,Intermediate,59,Portfolio,No,N/A,5,223569,Graduate + Training,8,No,Yes,5,Demonstrate proficiency in Arc Welding for industry applications,2026-09-05
Welding Technology,Manufacturing,12,MIG Welding,Core,Advanced,48,Portfolio,In Progress,N/A,4,321684,Certification Required,2,No,Yes,5,Demonstrate proficiency in MIG Welding for industry applications,2026-09-05
Welding Technology,Manufacturing,12,TIG Welding,Core,Advanced,58,Project,Yes,Paytm; HCL; Crompton Greaves,3,81143,Graduate + Training,29,Yes,Yes,5,Demonstrate proficiency in TIG Welding for industry applications,2026-09-05
Welding Technology,Manufacturing,12,Blueprint Reading,Core,Intermediate,43,Practical Exam,Yes,Flipkart,2,376221,Expert Level,9,No,Yes,5,Demonstrate proficiency in Blueprint Reading for industry applications,2026-09-05
Welding Technology,Manufacturing,12,Safety Standards,Core,Intermediate,25,Portfolio,In Progress,N/A,7,459565,Expert Level,22,Yes,Yes,5,Demonstrate proficiency in Safety Standards for industry applications,2026-09-05
Welding Technology,Manufacturing,12,Robotic Welding Basics,Emerging,Beginner,18,Written Test,No,N/A,6,217353,Industry Experience 3+ years,22,Yes,Yes,5,Demonstrate proficiency in Robotic Welding Basics for industry applications,2026-09-05
Welding Technology,Manufacturing,12,Weld Inspection,Emerging,Beginner,12,Portfolio,Yes,Fortis Healthcare; Accenture,5,221725,Graduate + Training,15,No,Yes,5,Demonstrate proficiency in Weld Inspection for industry applications,2026-09-05
Welding Technology,Manufacturing,12,Advanced Materials,Emerging,Beginner,10,Project,In Progress,N/A,3,293225,Certification Required,26,Yes,Yes,5,Demonstrate proficiency in Advanced Materials for industry applications,2026-09-05
Medical Lab Technology,Healthcare,12,Lab Testing,Core,Intermediate,37,Practical Exam,No,N/A,9,42730,Expert Level,14,No,Yes,5,Demonstrate proficiency in Lab Testing for industry applications,2026-09-05
Medical Lab Technology,Healthcare,12,Sample Collection,Core,Intermediate,21,Practical Exam,Yes,Siemens; Vedantu; Apollo Hospitals; Paytm; IBM,8,218083,Certification Required,19,Yes,Yes,5,Demonstrate proficiency in Sample Collection for industry applications,2026-09-05
Medical Lab Technology,Healthcare,12,Equipment Operation,Core,Advanced,48,On-job Assessment,Yes,IBM; Zerodha,7,260214,Graduate + Training,19,Yes,Yes,5,Demonstrate proficiency in Equipment Operation for industry applications,2026-09-05
Medical Lab Technology,Healthcare,12,Quality Control,Core,Advanced,50,Written Test,In Progress,N/A,3,263250,Industry Experience 3+ years,5,No,Yes,5,Demonstrate proficiency in Quality Control for industry applications,2026-09-05
Medical Lab Technology,Healthcare,12,Safety,Core,Intermediate,20,Project,No,N/A,10,52285,Graduate + Training,20,Yes,Yes,5,Demonstrate proficiency in Safety for industry applications,2026-09-05
Medical Lab Technology,Healthcare,12,Automation in Labs,Emerging,Beginner,29,Practical Exam,Yes,PhonePe; Wipro; Paytm,5,64103,Industry Experience 3+ years,28,Yes,Yes,5,Demonstrate proficiency in Automation in Labs for industry applications,2026-09-05
Medical Lab Technology,Healthcare,12,Digital Pathology Basics,Emerging,Beginner,16,Written Test,No,N/A,7,462600,Industry Experience 3+ years,14,No,Yes,5,Demonstrate proficiency in Digital Pathology Basics for industry applications,2026-09-05
Medical Lab Technology,Healthcare,12,LIS Software,Emerging,Beginner,24,Practical Exam,Yes,Narayana Health; TCS; Flipkart; Reliance Jio,2,98740,Graduate + Training,2,No,Yes,5,Demonstrate proficiency in LIS Software for industry applications,2026-09-05
Retail Management,Retail,6,Customer Service,Core,Advanced,44,Written Test,In Progress,N/A,7,437402,Graduate + Training,13,No,Yes,4,Demonstrate proficiency in Customer Service for industry applications,2026-09-05
Retail Management,Retail,6,Inventory Management,Core,Intermediate,35,On-job Assessment,No,N/A,10,331502,Graduate + Training,22,Yes,Yes,4,Demonstrate proficiency in Inventory Management for industry applications,2026-09-05
Retail Management,Retail,6,Sales Techniques,Core,Intermediate,49,On-job Assessment,Yes,Infosys,3,391100,Industry Experience 3+ years,20,Yes,Yes,4,Demonstrate proficiency in Sales Techniques for industry applications,2026-09-05
Retail Management,Retail,6,Cash Handling,Core,Advanced,26,On-job Assessment,No,N/A,6,210508,Certification Required,24,Yes,Yes,4,Demonstrate proficiency in Cash Handling for industry applications,2026-09-05
Retail Management,Retail,6,Merchandising,Core,Intermediate,23,Written Test,In Progress,N/A,7,403883,Certification Required,15,No,Yes,4,Demonstrate proficiency in Merchandising for industry applications,2026-09-05
Retail Management,Retail,6,E-commerce Basics,Emerging,Beginner,11,Portfolio,No,N/A,3,79260,Industry Experience 3+ years,32,Yes,Yes,4,Demonstrate proficiency in E-commerce Basics for industry applications,2026-09-05
Retail Management,Retail,6,POS Systems,Emerging,Intermediate,19,On-job Assessment,No,N/A,4,251254,Graduate + Training,29,Yes,Yes,4,Demonstrate proficiency in POS Systems for industry applications,2026-09-05
Retail Management,Retail,6,Omnichannel Retail,Emerging,Beginner,26,On-job Assessment,In Progress,N/A,7,71919,Certification Required,20,Yes,Yes,4,Demonstrate proficiency in Omnichannel Retail for industry applications,2026-09-05
Warehouse Management,Logistics,6,Inventory Management,Core,Advanced,43,Portfolio,No,N/A,10,490163,Graduate + Training,7,No,Yes,4,Demonstrate proficiency in Inventory Management for industry applications,2026-09-05
Warehouse Management,Logistics,6,Forklift Operation,Core,Advanced,58,Written Test,No,N/A,2,106118,Industry Experience 3+ years,3,No,Yes,4,Demonstrate proficiency in Forklift Operation for industry applications,2026-09-05
Warehouse Management,Logistics,6,WMS,Core,Intermediate,48,Portfolio,No,N/A,9,8379,Certification Required,36,Yes,Yes,4,Demonstrate proficiency in WMS for industry applications,2026-09-05
Warehouse Management,Logistics,6,Safety Standards,Core,Intermediate,60,On-job Assessment,Yes,Larsen & Toubro; Capgemini; TCS,9,382415,Certification Required,10,No,Yes,4,Demonstrate proficiency in Safety Standards for industry applications,2026-09-05
Warehouse Management,Logistics,6,Team Coordination,Core,Intermediate,51,Written Test,Yes,Flipkart; Godrej Industries,1,339973,Graduate + Training,27,Yes,Yes,4,Demonstrate proficiency in Team Coordination for industry applications,2026-09-05
Warehouse Management,Logistics,6,Automation Systems,Emerging,Beginner,12,Written Test,No,N/A,6,161552,Certification Required,26,Yes,Yes,4,Demonstrate proficiency in Automation Systems for industry applications,2026-09-05
Warehouse Management,Logistics,6,RFID Technology,Emerging,Intermediate,12,Practical Exam,Yes,Byju's; HCL; Reliance Jio; Cognizant,8,35083,Expert Level,4,No,Yes,4,Demonstrate proficiency in RFID Technology for industry applications,2026-09-05
Warehouse Management,Logistics,6,Supply Chain Analytics,Emerging,Beginner,26,On-job Assessment,In Progress,N/A,9,254609,Graduate + Training,11,No,Yes,4,Demonstrate proficiency in Supply Chain Analytics for industry applications,2026-09-05
Electrician Training,Electrical,12,Electrical Wiring,Core,Advanced,54,Written Test,Yes,Larsen & Toubro; Mahindra & Mahindra; Zerodha; PhonePe; Accenture,7,167505,Expert Level,7,No,Yes,5,Demonstrate proficiency in Electrical Wiring for industry applications,2026-09-05
Electrician Training,Electrical,12,Circuit Design,Core,Intermediate,44,Practical Exam,Yes,Reliance Jio; Godrej Industries; Tech Mahindra,8,296533,Graduate + Training,21,Yes,Yes,5,Demonstrate proficiency in Circuit Design for industry applications,2026-09-05
Electrician Training,Electrical,12,Safety Standards,Core,Intermediate,38,Project,In Progress,N/A,5,396860,Industry Experience 3+ years,17,No,Yes,5,Demonstrate proficiency in Safety Standards for industry applications,2026-09-05
Electrician Training,Electrical,12,Troubleshooting,Core,Intermediate,56,Practical Exam,No,N/A,8,429889,Certification Required,9,No,Yes,5,Demonstrate proficiency in Troubleshooting for industry applications,2026-09-05
Electrician Training,Electrical,12,Equipment Maintenance,Core,Advanced,39,Written Test,Yes,ABB India; TCS; Siemens; Fortis Healthcare; Max Healthcare,2,226747,Industry Experience 3+ years,36,Yes,Yes,5,Demonstrate proficiency in Equipment Maintenance for industry applications,2026-09-05
Electrician Training,Electrical,12,Solar Installation,Emerging,Intermediate,23,Portfolio,Yes,PhonePe; Mahindra & Mahindra,5,369440,Expert Level,6,No,Yes,5,Demonstrate proficiency in Solar Installation for industry applications,2026-09-05
Electrician Training,Electrical,12,Smart Home Systems,Emerging,Beginner,23,Practical Exam,No,N/A,3,217452,Certification Required,4,No,Yes,5,Demonstrate proficiency in Smart Home Systems for industry applications,2026-09-05
Electrician Training,Electrical,12,EV Charging Infrastructure,Emerging,Intermediate,29,On-job Assessment,No,N/A,2,100382,Graduate + Training,28,Yes,Yes,5,Demonstrate proficiency in EV Charging Infrastructure for industry applications,2026-09-05
Automotive Mechanic,Automotive,12,Engine Repair,Core,Advanced,48,Project,No,N/A,1,355419,Graduate + Training,35,Yes,Yes,5,Demonstrate proficiency in Engine Repair for industry applications,2026-09-05
Automotive Mechanic,Automotive,12,Vehicle Maintenance,Core,Intermediate,51,Project,Yes,Reliance Jio; Bajaj Finserv,7,359551,Industry Experience 3+ years,33,Yes,Yes,5,Demonstrate proficiency in Vehicle Maintenance for industry applications,2026-09-05
Automotive Mechanic,Automotive,12,Diagnostics,Core,Intermediate,26,Practical Exam,In Progress,N/A,1,438377,Industry Experience 3+ years,9,No,Yes,5,Demonstrate proficiency in Diagnostics for industry applications,2026-09-05
Automotive Mechanic,Automotive,12,Brake Systems,Core,Intermediate,55,Portfolio,No,N/A,2,215250,Expert Level,34,Yes,Yes,5,Demonstrate proficiency in Brake Systems for industry applications,2026-09-05
Automotive Mechanic,Automotive,12,Electrical Systems,Core,Advanced,32,On-job Assessment,Yes,Tech Mahindra; PhonePe,3,26562,Industry Experience 3+ years,27,Yes,Yes,5,Demonstrate proficiency in Electrical Systems for industry applications,2026-09-05
Automotive Mechanic,Automotive,12,EV Basics,Emerging,Beginner,28,Portfolio,No,N/A,10,9806,Certification Required,3,No,Yes,5,Demonstrate proficiency in EV Basics for industry applications,2026-09-05
Automotive Mechanic,Automotive,12,Advanced Diagnostics,Emerging,Beginner,20,Portfolio,Yes,Wipro; Larsen & Toubro; Amazon; Fortis Healthcare,9,374994,Expert Level,32,Yes,Yes,5,Demonstrate proficiency in Advanced Diagnostics for industry applications,2026-09-05
Automotive Mechanic,Automotive,12,Hybrid Vehicles,Emerging,Beginner,13,Portfolio,In Progress,N/A,10,346353,Certification Required,8,No,Yes,5,Demonstrate proficiency in Hybrid Vehicles for industry applications,2026-09-05
Beauty & Wellness,Personal Care,6,Hair Styling,Core,Advanced,47,Project,Yes,Capgemini; Zerodha; Godrej Industries; Siemens,7,132554,Expert Level,34,Yes,Yes,4,Demonstrate proficiency in Hair Styling for industry applications,2026-09-05
Beauty & Wellness,Personal Care,6,Makeup Artistry,Core,Intermediate,59,Portfolio,No,N/A,7,126018,Graduate + Training,19,Yes,Yes,4,Demonstrate proficiency in Makeup Artistry for industry applications,2026-09-05
Beauty & Wellness,Personal Care,6,Skin Care,Core,Advanced,58,Practical Exam,In Progress,N/A,4,124159,Certification Required,5,No,Yes,4,Demonstrate proficiency in Skin Care for industry applications,2026-09-05
Beauty & Wellness,Personal Care,6,Spa Therapy,Core,Intermediate,22,Written Test,In Progress,N/A,4,228824,Expert Level,22,Yes,Yes,4,Demonstrate proficiency in Spa Therapy for industry applications,2026-09-05
Beauty & Wellness,Personal Care,6,Customer Service,Core,Advanced,37,Practical Exam,Yes,Vedantu; Infosys; Tech Mahindra; Max Healthcare,10,210973,Expert Level,18,No,Yes,4,Demonstrate proficiency in Customer Service for industry applications,2026-09-05
Beauty & Wellness,Personal Care,6,Advanced Treatments,Emerging,Intermediate,15,Written Test,No,N/A,8,103471,Certification Required,5,No,Yes,4,Demonstrate proficiency in Advanced Treatments for industry applications,2026-09-05
Beauty & Wellness,Personal Care,6,Digital Marketing for Salons,Emerging,Beginner,29,Portfolio,No,N/A,10,313027,Graduate + Training,22,Yes,Yes,4,Demonstrate proficiency in Digital Marketing for Salons for industry applications,2026-09-05
Beauty & Wellness,Personal Care,6,Wellness Coaching,Emerging,Intermediate,22,Project,In Progress,N/A,6,77139,Certification Required,3,No,Yes,4,Demonstrate proficiency in Wellness Coaching for industry applications,2026-09-05
Food Processing,Food & Agriculture,6,Food Safety,Core,Intermediate,55,Project,No,N/A,3,254863,Certification Required,1,No,Yes,4,Demonstrate proficiency in Food Safety for industry applications,2026-09-05
Food Processing,Food & Agriculture,6,Processing Operations,Core,Advanced,31,Practical Exam,No,N/A,10,348810,Graduate + Training,30,Yes,Yes,4,Demonstrate proficiency in Processing Operations for industry applications,2026-09-05
Food Processing,Food & Agriculture,6,Quality Testing,Core,Advanced,29,Written Test,No,N/A,10,337572,Industry Experience 3+ years,10,No,Yes,4,Demonstrate proficiency in Quality Testing for industry applications,2026-09-05
Food Processing,Food & Agriculture,6,Packaging,Core,Advanced,53,Project,Yes,ICICI Bank; Axis Bank,4,171763,Certification Required,25,Yes,Yes,4,Demonstrate proficiency in Packaging for industry applications,2026-09-05
Food Processing,Food & Agriculture,6,Hygiene Standards,Core,Intermediate,53,Written Test,In Progress,N/A,4,146438,Certification Required,18,No,Yes,4,Demonstrate proficiency in Hygiene Standards for industry applications,2026-09-05
Food Processing,Food & Agriculture,6,Cold Chain Management,Emerging,Intermediate,20,Written Test,Yes,Vedantu; Tata Motors,9,337481,Expert Level,7,No,Yes,4,Demonstrate proficiency in Cold Chain Management for industry applications,2026-09-05
Food Processing,Food & Agriculture,6,Automation in Processing,Emerging,Beginner,23,Practical Exam,Yes,Narayana Health; Mahindra & Mahindra; Accenture; HCL,4,216958,Industry Experience 3+ years,3,No,Yes,4,Demonstrate proficiency in Automation in Processing for industry applications,2026-09-05
Food Processing,Food & Agriculture,6,Export Standards,Emerging,Beginner,13,Written Test,No,N/A,9,389537,Graduate + Training,8,No,Yes,4,Demonstrate proficiency in Export Standards for industry applications,2026-09-05
Mobile Repair,Electronics,6,Mobile Hardware,Core,Advanced,40,Written Test,In Progress,N/A,2,289062,Graduate + Training,29,Yes,Yes,4,Demonstrate proficiency in Mobile Hardware for industry applications,2026-09-05
Mobile Repair,Electronics,6,Troubleshooting,Core,Advanced,42,Practical Exam,No,N/A,7,404090,Graduate + Training,33,Yes,Yes,4,Demonstrate proficiency in Troubleshooting for industry applications,2026-09-05
Mobile Repair,Electronics,6,Component Replacement,Core,Advanced,51,Practical Exam,In Progress,N/A,8,453801,Industry Experience 3+ years,32,Yes,Yes,4,Demonstrate proficiency in Component Replacement for industry applications,2026-09-05
Mobile Repair,Electronics,6,Software Flashing,Core,Advanced,50,On-job Assessment,Yes,HCL; HDFC Bank; TCS; Tata Motors,5,315657,Industry Experience 3+ years,31,Yes,Yes,4,Demonstrate proficiency in Software Flashing for industry applications,2026-09-05
Mobile Repair,Electronics,6,Customer Service,Core,Advanced,20,On-job Assessment,In Progress,N/A,6,32855,Certification Required,25,Yes,Yes,4,Demonstrate proficiency in Customer Service for industry applications,2026-09-05
Mobile Repair,Electronics,6,Smartphone Diagnostics,Emerging,Beginner,23,Portfolio,In Progress,N/A,4,478729,Certification Required,19,Yes,Yes,4,Demonstrate proficiency in Smartphone Diagnostics for industry applications,2026-09-05
Mobile Repair,Electronics,6,Water Damage Repair,Emerging,Intermediate,26,On-job Assessment,In Progress,N/A,4,382790,Certification Required,24,Yes,Yes,4,Demonstrate proficiency in Water Damage Repair for industry applications,2026-09-05
Mobile Repair,Electronics,6,Screen Replacement Advanced,Emerging,Intermediate,21,Project,Yes,Narayana Health; Siemens; Tata Motors,8,189828,Expert Level,34,Yes,Yes,4,Demonstrate proficiency in Screen Replacement Advanced for industry applications,2026-09-05
Accounting & GST,Finance,6,Accounting Basics,Core,Advanced,53,On-job Assessment,No,N/A,4,351657,Expert Level,31,Yes,Yes,4,Demonstrate proficiency in Accounting Basics for industry applications,2026-09-05
Accounting & GST,Finance,6,Tally,Core,Intermediate,53,Project,In Progress,N/A,7,286525,Expert Level,31,Yes,Yes,4,Demonstrate proficiency in Tally for industry applications,2026-09-05
Accounting & GST,Finance,6,GST Filing,Core,Advanced,54,On-job Assessment,Yes,Mahindra & Mahindra; Amazon; IBM,6,246461,Expert Level,15,No,Yes,4,Demonstrate proficiency in GST Filing for industry applications,2026-09-05
Accounting & GST,Finance,6,Excel,Core,Advanced,25,Practical Exam,In Progress,N/A,5,214286,Graduate + Training,18,No,Yes,4,Demonstrate proficiency in Excel for industry applications,2026-09-05
Accounting & GST,Finance,6,Taxation,Core,Intermediate,39,Portfolio,Yes,Crompton Greaves,2,347581,Expert Level,18,No,Yes,4,Demonstrate proficiency in Taxation for industry applications,2026-09-05
Accounting & GST,Finance,6,Financial Reporting,Core,Advanced,51,Project,In Progress,N/A,6,219747,Expert Level,36,Yes,Yes,4,Demonstrate proficiency in Financial Reporting for industry applications,2026-09-05
Accounting & GST,Finance,6,GST Portal Advanced,Emerging,Beginner,25,On-job Assessment,Yes,Paytm; Razorpay,8,430686,Graduate + Training,22,Yes,Yes,4,Demonstrate proficiency in GST Portal Advanced for industry applications,2026-09-05
Accounting & GST,Finance,6,E-invoicing,Emerging,Intermediate,16,On-job Assessment,In Progress,N/A,1,164320,Industry Experience 3+ years,26,Yes,Yes,4,Demonstrate proficiency in E-invoicing for industry applications,2026-09-05
Accounting & GST,Finance,6,Cloud Accounting,Emerging,Intermediate,12,Practical Exam,In Progress,N/A,2,341360,Graduate + Training,35,Yes,Yes,4,Demonstrate proficiency in Cloud Accounting for industry applications,2026-09-05
Customer Service,Soft Skills,3,Communication,Core,Advanced,38,Written Test,In Progress,N/A,10,309806,Certification Required,7,No,Yes,3,Demonstrate proficiency in Communication for industry applications,2026-09-05
